CLUSTER,30046-001,30046-002,30046-003,30046-004,30046-005,30046-006,30046-007,30046-009,30046-010,30046-011,30046-012,30046-013,30046-014,30046-015,30046-017,30046-018,30046-019,30046-020,30046-021,30046-022,30046-023
Cluster-4873.0,16537,24318,17824,21835,23507,27026,22880,25435,16916,16961,27293,38184,12859,20331,21060,27652,18611,12731,11318,33035,18727
Cluster-4874.0,40,60,33,56,39,76,36,44,37,50,47,72,30,106,55,69,59,117,24,79,35
Cluster-4875.0,118,449,320,208,4546,713,1455,172,1317,679,2811,410,1274,371,83,666,613,75,506,2848,707
Cluster-4876.0,5,4,5,7,0,1,2,6,0,3,3,2,0,0,2,5,0,0,6,4,0
Cluster-4877.0,2,0,3,2,2,2,0,2,1,0,2,1,2,3,0,3,0,0,0,3,2
Cluster-4878.0,138,195,155,379,726,1065,735,337,224,369,376,145,305,362,189,540,278,263,316,150,574
Cluster-4879.0,45,63,52,73,106,110,76,48,26,73,78,38,25,65,54,106,54,50,37,53,82
Cluster-4880.0,458,508,931,779,4554,6870,2004,709,525,1512,1471,404,547,1163,415,1845,651,866,513,673,1276
Cluster-4881.0,3,4,8,13,3,12,16,1,5,0,1,6,8,1,4,0,1,2,2,4,2
Cluster-4882.0,186,97,123,201,64,108,114,91,76,158,96,52,77,135,111,226,217,69,79,52,79
Cluster-4883.0,2,0,3,10,2,5,1,3,2,13,0,2,6,3,1,6,7,0,4,2,2
Cluster-4884.0,3,0,1,3,3,3,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0
Cluster-4885.0,3,5,1,4,3,2,0,0,0,4,3,1,2,1,0,1,5,0,2,4,0
Cluster-4886.0,9,32,17,9,33,13,5,21,6,11,25,24,10,34,8,20,8,11,5,24,4
Cluster-4887.0,139,80,89,107,187,108,111,105,48,68,116,203,68,181,52,68,128,156,181,66,246
Cluster-4888.0,5026,6486,3886,3480,4131,2978,2607,5437,2314,3547,7456,8121,2548,6561,6007,5902,4145,5005,2917,10329,1796
Cluster-4889.0,308,377,375,290,294,486,632,381,573,422,403,403,415,360,448,527,394,400,445,378,567
Cluster-4890.0,18228,22367,150801,72228,64575,8164,19892,27408,39747,44357,22662,111803,14201,21948,56238,33348,57732,94923,86764,47708,121495
Cluster-4891.0,3318,2559,2345,2515,2879,3731,2086,6074,1934,1225,5084,4612,1659,2672,3630,3292,1348,2740,1683,5501,1180
Cluster-4892.0,3,0,2,6,3,7,6,3,5,8,2,2,7,2,3,9,14,4,0,5,7
Cluster-4893.0,242927,326266,188854,200035,182711,185906,62982,289944,73922,184417,409928,318685,99898,264160,415708,388373,213472,195526,125718,657071,46584
Cluster-4894.0,22,43,73,121,170,84,66,69,28,74,53,20,52,107,54,88,90,38,33,51,109
Cluster-4895.0,3,1,5,0,3,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,4
Cluster-4896.0,81,60,92,71,47,41,51,146,71,25,87,27,58,56,49,56,185,217,116,51,73
Cluster-4897.0,496,210,391,457,368,371,315,310,195,611,316,100,217,267,253,585,537,260,276,182,225
Cluster-4898.0,6,4,17,10,0,11,0,0,0,3,0,0,8,0,33,0,0,9,0,10,0
Cluster-4899.0,31,45,27,13,8,22,15,29,8,44,5,15,27,7,11,45,37,23,3,33,8
Cluster-4900.0,77,65,78,67,291,218,87,44,25,110,286,56,38,138,47,176,115,70,59,90,63
Cluster-4901.0,4,0,0,8,6,0,0,6,0,0,3,0,1,0,0,0,4,0,0,4,0
Cluster-4902.0,4,4,4,2,2,1,0,1,1,0,2,0,4,4,0,6,9,2,1,1,2
Cluster-4903.0,3,0,7,0,0,0,0,0,0,0,6,2,0,0,12,6,13,0,0,0,0
Cluster-4904.0,147,280,217,308,328,346,430,278,314,279,285,436,126,219,309,480,334,104,263,273,421
Cluster-4905.0,6378,9347,10174,7447,4887,8563,9339,9621,8721,5578,5939,5985,5451,8901,6457,6719,9381,9165,7873,9385,11937
Cluster-4906.0,1,3,0,3,0,1,0,0,0,0,0,0,1,0,0,2,2,0,2,2,0
