"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster-509.0",6.55006106850833,-0.0892683976041197,0.96000882302258,-0.0929870595595766,0.925913841653474,0.998794292653611
"Cluster-522.0",6.30991470306931,1.44386910117806,1.17117634984477,1.23283662735286,0.217636722996699,0.997743869210583
"Cluster-648.0",5.73206873083853,1.44923715595424,0.992895813196529,1.45960647299798,0.144398259242388,0.997743869210583
"Cluster-850.0",11.8277952616336,-0.730709809005823,0.88232444808405,-0.828164526770786,0.407577330263241,0.997743869210583
"Cluster-859.0",7.08343977008564,1.24108485925056,1.20801031922271,1.02737935223031,0.304241870189271,0.997743869210583
"Cluster-923.0",9.17088099554023,-0.106788466441557,0.736624795756456,-0.144969959003204,0.884734590432451,0.997743869210583
"Cluster-928.0",7.16654451754707,0.0362637355131498,1.2591118312976,0.0288010442057219,0.977023268070913,0.998794292653611
"Cluster-1026.0",23.9697691721581,-0.311739393215195,0.915318772358802,-0.340580137356774,0.733419684489243,0.997743869210583
"Cluster-1036.0",11.5162333778041,-0.373056468777039,0.736553527064136,-0.506489284307717,0.61251321031013,0.997743869210583
"Cluster-1049.0",10.2674804445691,0.715359719788745,0.544348089676838,1.31415859328804,0.188792839531497,0.997743869210583
"Cluster-1052.0",9.37926594252377,1.14904830460404,0.870629504875003,1.31979021865221,0.186905068240065,0.997743869210583
"Cluster-1056.0",6.10378905860256,0.765160735646062,1.0548156570647,0.725397590110976,0.468208151083938,0.997743869210583
"Cluster-1073.0",22.1930558327268,-0.337890174130641,0.822762840066861,-0.41067748526803,0.681309038253074,0.997743869210583
"Cluster-1088.0",9.46034865509271,-0.0789396192469899,0.846154508627485,-0.0932922042512482,0.925671425180176,0.998794292653611
"Cluster-1098.0",6.27027324095116,-1.40008569181241,1.1636793526303,-1.20315419247386,0.228916657492563,0.997743869210583
"Cluster-1106.0",7.71266162476369,0.626225182218069,1.07283164556702,0.583712444357559,0.559413793360844,0.997743869210583
"Cluster-1108.0",29.643390803534,0.905871866807049,0.668590396999976,1.35489811231477,0.175450021174205,0.997743869210583
"Cluster-1118.0",9.63943340700096,0.731863878185721,0.719208749409475,1.01759590492557,0.308870034260276,0.997743869210583
"Cluster-1155.0",15.688555920032,0.366655640037955,1.04948352946371,0.349367693483782,0.726813283962913,0.997743869210583
"Cluster-1162.0",4.46313505086327,-1.59653217155557,1.17565849970712,-1.35798973252292,0.174466942161357,0.997743869210583
"Cluster-1170.0",8.03238926623938,-0.589105261633965,1.05082891862503,-0.56061005858574,0.575063392972204,0.997743869210583
"Cluster-1178.0",7.53425032069168,1.69344731776423,1.14643913637444,1.47713669573395,0.139638998735637,0.997743869210583
